sofifaId,name,teams,country
1,Superliga,12,Denmark
4,Pro League,16,Belgium
7,Série A,14,Brazil
10,Eredivisie,18,Netherlands
13,Premier League,20,England
14,Championship,24,England
16,Ligue 1,18,France
17,Ligue 2,20,France
19,Bundesliga,18,Germany
20,2. Bundesliga,18,Germany
31,Serie A,20,Italy
32,Serie B,20,Italy
39,Major League Soccer,29,United States
41,Eliteserien,16,Norway
50,Premiership,12,Scotland
53,La Liga,20,Spain
54,La Liga 2,22,Spain
56,Allsvenskan,16,Sweden
60,League One,24,England
61,League Two,24,England
63,Super League,3,Greece
64,Nemzeti Bajnokság I,1,Hungary
65,Premier Division,10,Republic of Ireland
66,Ekstraklasa,18,Poland
68,Süper Lig,20,Türkiye
80,Bundesliga,12,Austria
83,K League 1,12,Korea Republic
189,Super League,12,Switzerland
308,Primeira Liga,18,Portugal
317,Hrvatska nogometna liga,2,Croatia
318,1. Division,1,Cyprus
319,First League,3,Czechia
322,Veikkausliiga,1,Finland
330,Liga I,16,Romania
332,Premier League,2,Ukraine
335,Primera Division,8,Chile
336,Categoría Primera A,7,Colombia
337,Primera División,8,Paraguay
338,Primera División,7,Uruguay
350,Pro League,18,Saudi Arabia
351,A-League Men,12,Australia
353,Liga Profesional de Fútbol,28,Argentina
2012,Super League,16,China PR
2013,Pro League,1,United Arab Emirates
2017,División de Fútbol Profesional,7,Bolivia
2018,Liga Pro,7,Ecuador
2019,Primera Division,6,Venezuela
2020,Primera Division,6,Peru
2076,3. Liga,20,Germany
2149,Super League,12,India
